ref	value	mfr_part	lib	libpart	sheetfile	sheetname	footprint	datasheet
U1	LSM6DSOXTR	LSM6DSOXTR	5v rail sm-easyedapro	LSM6DSOXTR	sheets/modules/01_Battery-System.kicad_sch	Battery System	Package_LGA:LGA-14_3x2.5mm_P0.5mm	https://item.szlcsc.com/datasheet/LSM6DSOXTR/489350.html
U2	~		Jumper	Jumper_2_Open	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm	
U3	~		Jumper	Jumper_2_Open	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm	
U4	~		Jumper	Jumper_2_Bridged	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm	
U5	~		Jumper	Jumper_2_Bridged	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm	
U6	~		Jumper	Jumper_2_Open	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm	
U7	~		Jumper	Jumper_2_Open	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm	
U8	~		Jumper	Jumper_2_Bridged	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm	
U9	~		Jumper	Jumper_2_Bridged	sheets/modules/01_Battery-System.kicad_sch	Battery System	Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm	
U10	PCAL6524HEAZ	PCAL6524HEAZ	5v rail sm-easyedapro	PCAL6524HEAZ	sheets/modules/01_Battery-System.kicad_sch	Battery System	5v rail sm-easyedapro:HQFN-32_L5.0-W5.0-P0.50-BL-EP3.0	https://www.nxp.com/docs/en/data-sheet/PCAL6524DS.pdf
