Ref,Value,ManufacturerPart,Manufacturer,DatasheetFile,SourceURL,Status,EnglishRatio
+ESC-CONNECTOR-1,XT60PW-M,XT60PW-M,AMASS(艾迈斯),,,missing,
-BatMains+1,XT60PW-M,XT60PW-M,AMASS(艾迈斯),,,missing,
AnyPower1,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
LED1,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
LED2,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
LED3,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
LED4,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
LED5,XL-1608UBC-04,XL-1608UBC-04,XINGLIGHT(成兴光),,https://atta.szlcsc.com/upload/public/pdf/source/20210617/C2837377_50FC585D376FE0CDA016E524346528FF.pdf,download_failed,
BatBalConn1,ZX-XH2_54-4PWZ,ZX-XH2.54-4PWZ,Megastar(兆星),,https://atta.szlcsc.com/upload/public/pdf/source/20230619/825E28BFFB9F3B9EEDAD896C78D625B2.pdf,download_failed,
C1,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C3,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C5,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C40,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C44,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C46,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C48,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C87,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C103,10uF,GRM21BR61H106KE43L,muRata(村田),,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,download_failed,
C2,100nF,CC0603KRX7R9BB104,YAGEO(国巨),,https://atta.szlcsc.com/upload/public/pdf/source/20180910/C282072_33301C7F631E79921B82A8DAC6BCC5B3.pdf,download_failed,
C4,100nF,CC0603KRX7R9BB104,YAGEO(国巨),,https://atta.szlcsc.com/upload/public/pdf/source/20180910/C282072_33301C7F631E79921B82A8DAC6BCC5B3.pdf,download_failed,
C6,100nF,CC0603KRX7R9BB104,YAGEO(国巨),,https://atta.szlcsc.com/upload/public/pdf/source/20180910/C282072_33301C7F631E79921B82A8DAC6BCC5B3.pdf,download_failed,
