Comment,Designator,Footprint,LCSC,Quantity
VH3.96-2P WZ,"-12V+_1,-12V+_2,-12V+_3,-12V+_4,-12V+_5,-12V+_6",CONN-TH_2P-P3.96_VH3.96-2AW,C5379879,6
XL-0201UBC,VCC1,LED-SMD_L0.7-W0.4-RD_BLUE,,1
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,,1
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,1
TPS22965DSGR,U216,UDFN-8_L2.0-W2.0-P0.50-TL-EP,,1
~,U215,Solder-Jumper-Arrow-Open,,1
~,U214,Solder-Jumper-Arrow-Open,,1
~,U213,SOLDERJUMPER_CLOSED,,1
~,U212,SOLDERJUMPER_CLOSED,,1
ADS1115IDGST,U211,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,,1
TPS3700DDCR,U210,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
ZX-VH3.96-4PWZ,U207,CONN-TH_ZX-VH3.96-4PWZ,,1
"74AHCT1G125GW,125-JSM",U206,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,,1
WS2815F,U205,LED-SMD_6P-L5.0-W5.0-TL,,1
"74AHCT1G125GW,125-JSM",U204,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,,1
WS2815F,U203,LED-SMD_6P-L5.0-W5.0-TL,,1
WS2815F,U202,LED-SMD_6P-L5.0-W5.0-TL,,1
WS2815F,U201,LED-SMD_6P-L5.0-W5.0-TL,,1
WS2815F,U200,LED-SMD_6P-L5.0-W5.0-TL,,1
CH343P,U191,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,,1
LSM6DSOXTR,U186,LGA-14L_L3.0-W2.5-P0.50-TL,,1
Teensy4.0,U183,Teensy40,,1
INA226AIDGSR,U182,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,1
LM5050MKX-1/NOPB,U181,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
LM5050MKX-1/NOPB,U180,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
~,U179,SOLDERJUMPER_CLOSED,,1
~,U178,SOLDERJUMPER_CLOSED,,1
TCA9517DGKRQ1,U176,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,,1
~,U174,SOLDERJUMPER_CLOSED,,1
TPSM63610RDFR,U173,QFN-22_L7.5-W6.5_TLVM13610RDFR,,1
~,U172,Solder-Jumper-Arrow-Open,,1
~,U170,SOLDERJUMPER_CLOSED,,1
MCP4725A0T-E/CH,U168,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
68uF,U166,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,,1
~,U161,Solder-Jumper-Arrow-Open,,1
~,U160,Solder-Jumper-Arrow-Open,,1
~,U159,SOLDERJUMPER_CLOSED,,1
~,U158,SOLDERJUMPER_CLOSED,,1
~,U157,Solder-Jumper-Arrow-Open,,1
150uF,U156,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,,1
MT9700-N,U155,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,,1
TPSM33625RDNR,U154,QFN-11_L4.5-W3.5-P0.50-TL_TPSM365R6FRDNR,,1
NCP718ASN330T1G,U153,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,1
LM5050MKX-1/NOPB,U152,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
LM5050MKX-1/NOPB,U151,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
LM5050MKX-1/NOPB,U150,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
68uF,U148,CAP-SMD_BD6.3-L6.6-W6.6-FD,,1
TPSM33625RDNR,U147,QFN-11_L4.5-W3.5-P0.50-TL_TPSM365R6FRDNR,,1
~,U146,Solder-Jumper-Arrow-Open,,1
~,U145,Solder-Jumper-Arrow-Open,,1
~,U144,SOLDERJUMPER_CLOSED,,1
~,U143,SOLDERJUMPER_CLOSED,,1
PCAL6524HEAZ,U141,HQFN-32_L5.0-W5.0-P0.50-BL-EP3.0,,1
"PCA9685PW,118",U140,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,,1
~,U139,SOLDERJUMPER_CLOSED,,1
~,U134,SOLDERJUMPER_CLOSED,,1
TPS16630RGER,U133,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,,1
LM5050MKX-1/NOPB,U127,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
15uH,U126,IND-SMD_2P-L11.3-W10.0-XAL1010-153MED,,1
PMEG10030ELPX,U120,SOD-128_L3.7-W2.5-LS4.7-RD,,1
LTM8055IY#PBF,U115,BGA-121_L15.0-W15.0-R11-C11-P1.27-TL,,1
BQ7694202PFBR,U112,TQFP-48_L7.0-W7.0-P0.50-LS9.0-TL,,1
220uF,U103,CAP-SMD_BD6.3-L6.6-W6.6-LS7.0-FD,,1
DS1021-2x13SF11-B,U81,HDR-TH_26P-P2.54-V-M-R2-C13-S2.54,,1
8mΩ,U49,R1206,,1
LM74700QDBVRQ1,U47,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
CN3722,U44,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,,1
HUSB238A-BB001-QN16R,U43,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,,1
TL3305AF160QG,SW11,KEY-SMD_4P-L4.5-W4.5-P3.00-LS6.9,,1
DSHP04TS-S,SW8,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5,,1
10kΩ,RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,,1
51kΩ,R563,R0603,,1
180kΩ,R562,R0603,,1
10kΩ,R561,R0603,,1
100kΩ,R560,R0603,,1
100kΩ,R559,R0603,,1
10kΩ,R558,R0603,,1
16mΩ,R556,R2512,,1
16mΩ,R555,R2512,,1
16mΩ,R554,R2512,,1
0Ω,R553,R0201,,1
0Ω,R552,R0201,,1
0Ω,R551,R0201,,1
0Ω,R550,R0201,,1
0Ω,R549,R0201,,1
0Ω,R548,R0201,,1
10kΩ,R547,R0402,,1
10kΩ,R546,R0402,,1
10Ω,R545,R0402,,1
10Ω,R544,R0402,,1
10Ω,R543,R0402,,1
10Ω,R542,R0402,,1
10Ω,R541,R0402,,1
10Ω,R540,R0402,,1
10kΩ,R539,R0603,,1
100kΩ,R538,R0603,,1
100kΩ,R536,R0603,,1
19.1Ω,R535,R0603,,1
100Ω,R534,R0603,,1
309kΩ,R531,R0603,,1
10kΩ,R530,R0603,,1
100kΩ,R529,R0603,,1
232kΩ,R528,R0603,,1
10kΩ,R527,R0603,,1
220Ω,R525,R0603,,1
220Ω,R524,R0603,,1
16mΩ,R522,R2512,,1
16mΩ,R521,R2512,,1
16mΩ,R520,R2512,,1
5.1kΩ,R519,R0603,,1
5.1kΩ,R518,R0603,,1
1mΩ,R517,R3920,,1
100kΩ,R516,R0603,,1
11.3kΩ,R515,R0603,,1
100kΩ,R514,R0603,,1
100Ω,R513,R0603,,1
100kΩ,R512,R0603,,1
100Ω,R511,R0603,,1
0Ω,R510,R0603,,1
47kΩ,R509,R0603,,1
47Ω,R508,R0603,,1
47Ω,R507,R0603,,1
47Ω,R506,R0603,,1
47Ω,R505,R0603,,1
47Ω,R504,R0603,,1
26.7kΩ,R502,R0603,,1
