Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
-12V+_1,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,120.790433,-90.9305,0.0,top
-12V+_2,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,130.341366,-90.9305,0.0,top
-12V+_3,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,139.892299,-90.9305,0.0,top
-12V+_4,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,4.290433,-79.6805,0.0,top
-12V+_5,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,13.841366,-79.6805,0.0,top
-12V+_6,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,23.392299,-79.6805,0.0,top
12V1,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,135.21,-23.2155,0.0,top
3V3,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,135.21,-25.196433,0.0,top
5V1,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,135.21,-27.177366,0.0,top
C105,10uF,C0805,30.68975,-68.65975,0.0,top
C106,100nF,C0603,35.237001,-68.517001,0.0,top
C107,10uF,C0805,30.68975,-71.61925,0.0,top
C108,100nF,C0603,35.237001,-71.191002,0.0,top
C109,10uF,C0805,30.68975,-74.57875,0.0,top
C110,100nF,C0603,35.237001,-73.865003,0.0,top
C125,10uF,C0805,130.59975,-97.43925,0.0,top
C126,100nF,C0603,137.537001,-97.011002,0.0,top
C127,10uF,C0805,130.59975,-100.39875,0.0,top
C128,100nF,C0603,137.537001,-99.685003,0.0,top
C129,10uF,C0805,130.59975,-103.35825,0.0,top
C130,100nF,C0603,137.537001,-102.359004,0.0,top
C137,33pF,C0201,131.48325,-17.31675,0.0,top
C138,10nF,C0201,131.48325,-19.263933,0.0,top
C139,100nF,C0402,131.67025,-8.80575,0.0,top
C140,100nF,C0402,131.67025,-10.961933,0.0,top
C141,100nF,C0402,131.67025,-13.118116,0.0,top
C142,100nF,C0402,131.67025,-15.274299,0.0,top
C143,10nF,C0201,136.78325,-104.65675,0.0,top
C144,10nF,C0201,136.78325,-106.603933,0.0,top
C145,10nF,C0201,136.78325,-108.551116,0.0,top
C160,33uF,CAP-SMD_L7.3-W4.3-FD,22.064,-84.7005,0.0,top
C166,1uF,C0603,90.157001,-114.067001,0.0,top
C167,100pF,C0603,90.157001,-116.741002,0.0,top
C168,220nF,C0603,90.157001,-119.415003,0.0,top
C169,220nF,C0603,90.157001,-122.089004,0.0,top
C170,220nF,C0603,90.157001,-124.763005,0.0,top
C172,100pF,C0402,106.05025,-133.92575,0.0,top
C173,100nF,C0603,90.157001,-127.437006,0.0,top
C174,100nF,C0603,34.447001,-34.747001,0.0,top
C175,100nF,C0603,34.447001,-37.421002,0.0,top
C176,100nF,C0603,83.567001,-17.957001,0.0,top
C177,10uF,C0805,58.42975,-36.23975,0.0,top
C178,680uF,CAP-TH_BD8.0-P3.50-D0.6-FD,69.951933,-21.349,0.0,top
C187,100nF,C0603,94.191002,-114.067001,0.0,top
C188,220nF,C0603,94.191002,-116.741002,0.0,top
C191,1uF,C0603,58.227001,-56.577001,0.0,top
C192,100nF,C0603,58.227001,-59.251002,0.0,top
C193,100nF,C0603,106.787001,-23.427001,0.0,top
C196,1uF,C0603,127.307001,-114.067001,0.0,top
C198,100nF,C0603,152.447001,-66.161002,0.0,top
C199,100nF,C0603,152.447001,-68.835003,0.0,top
C200,1uF,C0603,127.307001,-116.741002,0.0,top
C202,100nF,C0603,143.127001,-126.427001,0.0,top
C203,1uF,C0603,106.787001,-26.101002,0.0,top
C204,22uF,C1206,90.71975,-26.73875,0.0,top
C205,22uF,C1206,90.71975,-30.07625,0.0,top
C206,100nF,C0603,152.447001,-71.509004,0.0,top
C207,22uF,C0805,148.84975,-47.52975,0.0,top
C208,22uF,C0805,148.84975,-50.48925,0.0,top
C209,100nF,C0603,58.227001,-61.925003,0.0,top
C210,22nF,C0603,58.227001,-64.599004,0.0,top
C213,1uF,C0603,58.227001,-67.273005,0.0,top
C214,100nF,C0603,58.227001,-69.947006,0.0,top
C215,1uF,C0603,62.261002,-56.577001,0.0,top
C216,100nF,C0603,62.261002,-59.251002,0.0,top
C217,1uF,C0603,62.261002,-61.925003,0.0,top
C218,100nF,C0603,62.261002,-64.599004,0.0,top
C219,100nF,C0603,34.447001,-40.095003,0.0,top
C220,100nF,C0603,34.447001,-42.769004,0.0,top
C221,100nF,C0603,34.447001,-45.443005,0.0,top
C222,100nF,C0603,34.447001,-48.117006,0.0,top
C223,1uF,C0603,94.191002,-119.415003,0.0,top
C224,1uF,C0603,94.191002,-122.089004,0.0,top
C225,1uF,C0603,106.787001,-28.775003,0.0,top
C228,47uF,C0805,102.23975,-23.56975,0.0,top
C229,47uF,C0805,102.23975,-26.52925,0.0,top
C230,100nF,C0603,106.787001,-31.449004,0.0,top
C231,4.7uF,C0805,102.23975,-29.48875,0.0,top
C232,100nF,C0603,106.787001,-34.123005,0.0,top
C233,4.7uF,C0805,102.23975,-32.44825,0.0,top
C234,22uF,C0603,39.727001,-106.907001,0.0,top
C235,100nF,C0603,39.727001,-109.581002,0.0,top
C236,100nF,C0603,39.727001,-112.255003,0.0,top
C237,10uF,C0805,59.16975,-147.21975,0.0,top
C238,100nF,C0603,49.507001,-151.597001,0.0,top
C239,10uF,C0805,59.16975,-150.17925,0.0,top
C240,100nF,C0603,49.507001,-154.271002,0.0,top
C241,100nF,C0603,152.207001,-133.867001,0.0,top
C242,10nF,C0201,62.96325,-146.70675,0.0,top
C243,10nF,C0201,62.96325,-148.653933,0.0,top
C244,10nF,C0201,62.96325,-150.601116,0.0,top
C245,4.7uF,C0805,91.09975,-67.15975,0.0,top
C246,4.7uF,C0805,91.09975,-70.11925,0.0,top
C247,22uF,C0805,91.09975,-73.07875,0.0,top
C249,220nF,C0603,120.147001,-58.957001,0.0,top
C250,100nF,C0603,120.147001,-61.631002,0.0,top
C251,1uF,C0603,143.127001,-129.101002,0.0,top
C252,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD,93.755,-45.0905,0.0,top
C253,47uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,93.755,-53.321433,0.0,top
C254,100nF,C0402,132.82025,-67.150482,0.0,top
C255,100nF,C0402,132.82025,-69.306665,0.0,top
C256,470nF,C0603,94.191002,-124.763005,0.0,top
C257,47uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,114.025,-20.1205,0.0,top
C260,10uF,C1210,50.62975,-115.73475,0.0,top
C261,10uF,C1210,50.62975,-120.04425,0.0,top
C262,100uF,CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD,64.5,-126.1605,0.0,top
C263,22pF,C0402,59.25025,-133.94575,0.0,top
C264,47uF,C1210,50.62975,-124.35375,0.0,top
C265,47uF,C1210,50.62975,-128.66325,0.0,top
C266,47uF,C1210,50.62975,-132.97275,0.0,top
C267,4700uF,CAP-TH_BD13.0-P5.00-D0.6-FD,30.410433,-112.8705,0.0,top
C270,100nF,C0603,127.307001,-119.415003,0.0,top
C271,1uF,C0603,120.147001,-64.305003,0.0,top
C272,100nF,C0603,120.147001,-66.979004,0.0,top
C273,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-R-RD,106.52,-63.600433,0.0,top
C274,1uF,C0603,39.727001,-114.929004,0.0,top
C275,100nF,C0603,39.727001,-117.603005,0.0,top
C276,4700uF,CAP-TH_BD16.0-P7.50-D0.8-FD,56.320433,-8.3005,0.0,top
C277,4700uF,CAP-TH_BD16.0-P7.50-D0.8-FD,56.320433,-25.931433,0.0,top
C278,1uF,C0603,83.567001,-20.631002,0.0,top
C279,100nF,C0603,83.567001,-23.305003,0.0,top
C280,47uF,C0805,101.71975,-104.23975,0.0,top
C281,100nF,C0603,78.037001,-98.697001,0.0,top
C282,1uF,C0603,78.037001,-101.371002,0.0,top
C284,100nF,C0603,78.037001,-104.045003,0.0,top
C285,100nF,C0603,78.037001,-106.719004,0.0,top
C286,1uF,C0603,78.037001,-109.393005,0.0,top
C287,100nF,C0603,143.417001,-30.047001,0.0,top
C288,1uF,C0603,143.417001,-32.721002,0.0,top
C289,100nF,C0603,120.147001,-69.653005,0.0,top
C290,1uF,C0603,120.147001,-72.327006,0.0,top
C294,470uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD,60.755,-94.7205,0.0,top
C295,100nF,C0603,67.967001,-91.957001,0.0,top
C296,100nF,C0603,67.967001,-94.631002,0.0,top
C297,470uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD,60.755,-102.951433,0.0,top
C298,100nF,C0603,67.967001,-97.305003,0.0,top
C299,100nF,C0603,67.967001,-99.979004,0.0,top
C300,100nF,C0603,62.261002,-67.273005,0.0,top
C301,10uF,C0805,30.68975,-77.53825,0.0,top
C302,100nF,C0603,35.237001,-76.539004,0.0,top
C303,10uF,C0805,30.68975,-80.49775,0.0,top
C304,100nF,C0603,35.237001,-79.213005,0.0,top
C305,10uF,C0805,30.68975,-83.45725,0.0,top
C306,100nF,C0603,35.237001,-81.887006,0.0,top
C307,10uF,C0805,30.68975,-86.41675,0.0,top
C308,100nF,C0603,35.237001,-84.561007,0.0,top
C309,10nF,C0201,41.23325,-86.85675,0.0,top
C310,10nF,C0201,41.23325,-88.803933,0.0,top
C311,10nF,C0201,41.23325,-90.751116,0.0,top
C68,10uF,C0805,130.59975,-94.47975,0.0,top
C69,100nF,C0603,137.537001,-94.337001,0.0,top
C71,22uF,C0805,135.65975,-17.43975,0.0,top
C74,1uF,C0603,140.907001,-17.437001,0.0,top
C76,47uF,C1206,140.98975,-9.39875,0.0,top
C78,2pF,C0402,132.82025,-58.52575,0.0,top
C79,470pF,C0402,132.82025,-60.681933,0.0,top
