Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
-12V+_1,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,45.210433,-33.5005,0.0,top
-12V+_2,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,54.761366,-33.5005,0.0,top
-12V+_3,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,64.312299,-33.5005,0.0,top
-12V+_4,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,-1.709567,-92.2705,0.0,top
-12V+_5,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,7.841366,-92.2705,0.0,top
-12V+_6,VH3.96-2P WZ,CONN-TH_2P-P3.96_VH3.96-2AW,17.392299,-92.2705,0.0,top
12V1,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,70.58,-145.9855,0.0,top
3V3,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,70.58,-147.966433,0.0,top
5V1,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,70.58,-149.947366,0.0,top
C105,10uF,C_0805_2012Metric,24.375,-81.275,0.0,top
C106,100nF,C_0603_1608Metric,28.605,-81.025,0.0,top
C107,10uF,C_0805_2012Metric,24.375,-84.285,0.0,top
C108,100nF,C_0603_1608Metric,28.605,-83.535,0.0,top
C109,10uF,C_0805_2012Metric,24.375,-87.295,0.0,top
C110,100nF,C_0603_1608Metric,28.605,-86.045,0.0,top
C125,10uF,C_0805_2012Metric,54.265,-40.085,0.0,top
C126,100nF,C_0603_1608Metric,58.495,-39.335,0.0,top
C127,10uF,C_0805_2012Metric,54.265,-43.095,0.0,top
C128,100nF,C_0603_1608Metric,58.495,-41.845,0.0,top
C129,10uF,C_0805_2012Metric,54.265,-46.105,0.0,top
C130,100nF,C_0603_1608Metric,58.495,-44.355,0.0,top
C137,33pF,C_0201_0603Metric,24.155,-150.605,0.0,top
C138,10nF,C_0201_0603Metric,24.155,-152.355,0.0,top
C139,100nF,C_0402_1005Metric,26.815,-150.715,0.0,top
C140,100nF,C_0402_1005Metric,26.815,-152.685,0.0,top
C141,100nF,C_0402_1005Metric,26.815,-154.655,0.0,top
C142,100nF,C_0402_1005Metric,26.815,-156.625,0.0,top
C143,10nF,C_0201_0603Metric,61.725,-36.445,0.0,top
C144,10nF,C_0201_0603Metric,61.725,-38.195,0.0,top
C145,10nF,C_0201_0603Metric,61.725,-39.945,0.0,top
C160,33uF,CAP-SMD_L7.3-W4.3-FD,7.514,-97.2905,0.0,top
C166,1uF,C_0603_1608Metric,73.075,-22.255,0.0,top
C167,100pF,C_0603_1608Metric,73.075,-24.765,0.0,top
C168,220nF,C_0603_1608Metric,73.075,-27.275,0.0,top
C169,220nF,C_0603_1608Metric,73.075,-29.785,0.0,top
C170,220nF,C_0603_1608Metric,73.075,-32.295,0.0,top
C172,100pF,C_0402_1005Metric,75.375,-45.685,0.0,top
C173,100nF,C_0603_1608Metric,73.075,-34.805,0.0,top
C174,100nF,C_0603_1608Metric,62.055,-80.715,0.0,top
C175,100nF,C_0603_1608Metric,62.055,-83.225,0.0,top
C177,10uF,C_0805_2012Metric,128.525,-121.445,0.0,top
C187,100nF,C_0603_1608Metric,73.075,-37.315,0.0,top
C188,220nF,C_0603_1608Metric,77.085,-22.255,0.0,top
C191,1uF,C_0603_1608Metric,42.315,-118.305,0.0,top
C192,100nF,C_0603_1608Metric,42.315,-120.815,0.0,top
C193,100nF,C_0603_1608Metric,79.275,-106.0,0.0,top
C196,1uF,C_0603_1608Metric,93.225,-150.545,0.0,top
C200,1uF,C_0603_1608Metric,93.225,-153.055,0.0,top
C202,100nF,C_0603_1608Metric,107.595,-142.355,0.0,top
C203,1uF,C_0603_1608Metric,81.825,-112.015,0.0,top
C204,22uF,C_1206_3216Metric,88.325,-133.925,0.0,top
C205,22uF,C_1206_3216Metric,88.325,-137.275,0.0,top
C209,100nF,C_0603_1608Metric,42.315,-123.325,0.0,top
C210,22nF,C_0603_1608Metric,42.315,-125.835,0.0,top
C213,1uF,C_0603_1608Metric,42.315,-128.345,0.0,top
C214,100nF,C_0603_1608Metric,42.315,-130.855,0.0,top
C215,1uF,C_0603_1608Metric,42.315,-133.365,0.0,top
C216,100nF,C_0603_1608Metric,42.315,-135.875,0.0,top
C217,1uF,C_0603_1608Metric,46.325,-118.305,0.0,top
C218,100nF,C_0603_1608Metric,46.325,-120.815,0.0,top
C219,100nF,C_0603_1608Metric,62.055,-85.735,0.0,top
C220,100nF,C_0603_1608Metric,62.055,-88.245,0.0,top
C221,100nF,C_0603_1608Metric,62.055,-90.755,0.0,top
C222,100nF,C_0603_1608Metric,66.065,-80.715,0.0,top
C223,1uF,C_0603_1608Metric,77.085,-24.765,0.0,top
C224,1uF,C_0603_1608Metric,77.085,-27.275,0.0,top
C225,1uF,C_0603_1608Metric,81.825,-114.525,0.0,top
C228,47uF,C_0805_2012Metric,112.125,-109.755,0.0,top
C229,47uF,C_0805_2012Metric,112.125,-112.765,0.0,top
C230,100nF,C_0603_1608Metric,81.825,-117.035,0.0,top
C231,4.7uF,C_0805_2012Metric,112.125,-115.775,0.0,top
C232,100nF,C_0603_1608Metric,81.825,-119.545,0.0,top
C233,4.7uF,C_0805_2012Metric,112.125,-118.785,0.0,top
C234,22uF,C_0603_1608Metric,10.135,-46.805,0.0,top
C235,100nF,C_0603_1608Metric,10.135,-49.315,0.0,top
C236,100nF,C_0603_1608Metric,10.135,-51.825,0.0,top
C237,10uF,C_0805_2012Metric,79.115,-56.395,0.0,top
C238,100nF,C_0603_1608Metric,83.345,-56.145,0.0,top
C239,10uF,C_0805_2012Metric,79.115,-59.405,0.0,top
C240,100nF,C_0603_1608Metric,83.345,-58.655,0.0,top
C241,100nF,C_0603_1608Metric,46.665,-146.265,0.0,top
C242,10nF,C_0201_0603Metric,78.115,-50.515,0.0,top
C243,10nF,C_0201_0603Metric,78.115,-52.265,0.0,top
C244,10nF,C_0201_0603Metric,78.115,-54.015,0.0,top
C245,4.7uF,C_0805_2012Metric,117.575,-65.545,0.0,top
C246,4.7uF,C_0805_2012Metric,117.575,-68.555,0.0,top
C247,22uF,C_0805_2012Metric,117.575,-71.565,0.0,top
C249,220nF,C_0603_1608Metric,110.715,-81.925,0.0,top
C250,100nF,C_0603_1608Metric,110.715,-84.435,0.0,top
C251,1uF,C_0603_1608Metric,107.595,-144.865,0.0,top
C252,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD,88.375,-68.1405,0.0,top
C253,47uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,88.375,-76.371433,0.0,top
C256,470nF,C_0603_1608Metric,77.085,-29.785,0.0,top
C257,47uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,110.185,-130.1505,0.0,top
